1	Капитал қурилишга оид суғурта тўловлари бўйича қарз суммалари акс эттирилган 	0810	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси
15	Мол-мулк ҳамда маъмурий ходимларга тааллуқли суғурта тўловлари бўйича қарз акс эттирилган 	9420	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларини ҳисоблаш жадвали, суғурта шартномаси 
16	Курс фарқини ҳисобга олишнинг жамлаш усули билан корхонанинг чет эл валютасида ифодаланган суғурта муассасалари олдидаги қарзи бўйича манфий валюта курс фарқи акс эттирилган 	3290	6510	Банк счётларидан кўчирмалар, ЎзР МБ томонидан белгиланган валюта курси 
17	Курс фарқини ҳисобга олишнинг тўғри усули билан корхонанинг чет эл валютасида ифодаланган суғурта муассасалари олдидаги қарзи бўйича манфий валюта курс фарқи акс эттирилган 	9620	6510	Банк счётларидан кўчирмалар, ЎзР МБ томонидан белгиланган валюта курси 
18	Суғурта ҳолатлари бўйича йўқотишлар (захиралар, тайёр буюмлар, ҳайвонлар, товарлар ва ҳоказоларнинг йўқотилиши ва бузилиши) тегишли счётлардан ҳисобдан чиқарилган 	6510	1010-1090, 1100, 2810, 2820, 2910- 2990 	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси, инвентарлаш комиссиясининг қарори 
19	Мол-мулк ва шахсий суғурта бўйича ҳисобланган суғурта тўловлари суммаси ҳисоб-китоб счётидан ўтказилган 	6510	5110	Банк ҳисоб-китоб счётларидан кўчирмалар, тўлов топшириқномаси 
20	Мол-мулк ва шахсий суғурта бўйича ҳисобланган суғурта тўловлари суммаси валюта счётидан ўтказилган 	6510	5210, 5220	Банк валюта счётларидан кўчирмалар, тўлов топшириқномаси 
21	Курс фарқини ҳисобга олишнинг жамлаш усули билан корхонанинг чет эл валютасида ифодаланган суғурта муассасалари олдидаги қарзи бўйича мусбат валюта курс фарқи акс эттирилган 	6510	6230	Банк счётларидан кўчирмалар, ЎзР МБ томонидан белгиланган валюта курси 
22	Курс фарқини ҳисобга олишнинг тўғри усули билан корхонанинг чет эл валютасида ифодаланган суғурта муассасалари олдидаги қарзи бўйича мусбат валюта курс фарқи акс эттирилган 	6510	9540	Банк счётларидан кўчирмалар, ЎзР МБ томонидан белгиланган валюта курси 
23	Ўрнатиладиган асбобускунани харид қилиш билан банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	0710-0720	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
24	Капитал қурилишда банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	0810-0890	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
25	Материалларни харид қилиш билан банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	1010-1090	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
26	Ҳайвонларни харид қилиш билан банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	1110-1120	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
27	1510 "Материалларни тайёрлаш ва харид қилиш" счётидан фойдаланган ҳолда материалларни харид қилиш билан банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	1510	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
28	Товарларни харид қилиш билан банд бўлган ходимларнинг меҳнат ҳақидан ушлаб қолинадиган ягона ижтимоий тўлов ҳисобланган 	2910	6520	Меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
29	Асосий цехлар ишчиларининг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	2010	6520	Суғурта тўловларининг ҳисоб-китоби 
30	Ёрдамчи цехлар ишчиларининг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	2310	6520	Суғурта тўловларининг ҳисоб-китоби 
31	Умумишлаб чиқариш харажатларига киритилган меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	2510	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
32	Яроқсизликни тузатиш билан боғлиқ бўлган меҳнат ҳақи суммаларига оид ягона ижтимоий тўлов бўйича қарз акс эттирилган 	2610	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
33	Хизмат кўрсатувчи хўжаликларда банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	2710	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
34	Келгуси давр харажатларига киритиладиган ишларни амалга оширишда банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	3190	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
35	Сарф-харажатлари мақсадли молиялаштириш харажатларига киритиладиган ишларни амалга оширишда банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	8810-8890	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
36	Маҳсулотни етказиб бериш ва сотиш билан банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	9410	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
37	Маъмурий ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган	9420	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
38	Асосий воситалар чиқиб кетишида банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	9210	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
39	Бошқа активлар чиқиб кетишида банд бўлган ходимларнинг меҳнат ҳақи суммалари бўйича ягона ижтимоий тўлов ҳисобланган 	9220	6520	Харажатлар ўрни бўйича суғурта тўловларининг ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
40	Тегишли харажатлар ажратмалардан ортиқ бўлган тақдирда суғурта идораларидан банкдаги счётларга тушумлар келиб тушиши акс эттирилган 	5110, 5210	6520	Банк счётларидан кўчирмалар, солиштирма далолатнома, ҳисоб-китоблар 
41	Корхона ходимлари ҳисобига ижтимоий суғурта бўйича ҳисоблашлар амалга оширилган 	6710	6520	Ижтимоий суғурта бўйича ажратмалар ҳисоб-китоби, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
42	Келгуси харажатлар ва тўловлар резерви ҳисобига киритилган меҳнат ҳақи суммалари бўйича қарз акс эттирилган (мавсумий соҳаларда, таъмирлаш ишларида ва ҳ.к.) 	8910	6520	Ушлаб қолишлар қайдномаси, меҳнат ҳақи бўйича ҳисоб-китоб қайдномаси 
43	Ягона ижтимоий тўлов амалда ўтказилганлиги акс эттирилган 	6520	5110, 5010	Банк счётларидан кўчирмалар, тўлов топшириқномаси 
44	Ёрдамчи ишлаб чиқариш харажатлари билан боғлиқ суғурта тўловлари ҳисобга олинган 	2310	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
45	Хизмат кўрсатувчи хўжаликларнинг мол-мулки ва ходимлари суғуртаси бўйича қарз ҳисобга олинган 	2710	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
